file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,114,css,a80e9a2b,Gabrielle Despaigne,2025-10-11,00:26:47,-07:00,2025-10-11T00:26:47-07:00,1,15
style.css,115,css,a80e9a2b,Gabrielle Despaigne,2025-10-11,00:26:47,-07:00,2025-10-11T00:26:47-07:00,1,12
style.css,116,css,a80e9a2b,Gabrielle Despaigne,2025-10-11,00:26:47,-07:00,2025-10-11T00:26:47-07:00,1,26
style.css,117,css,a80e9a2b,Gabrielle Despaigne,2025-10-11,00:26:47,-07:00,2025-10-11T00:26:47-07:00,0,0
style.css,118,css,a80e9a2b,Gabrielle Despaigne,2025-10-11,00:26:47,-07:00,2025-10-11T00:26:47-07:00,0,25
style.css,119,css,a80e9a2b,Gabrielle Despaigne,2025-10-11,00:26:47,-07:00,2025-10-11T00:26:47-07:00,0,0
style.css,120,css,a80e9a2b,Gabrielle Despaigne,2025-10-11,00:26:47,-07:00,2025-10-11T00:26:47-07:00,0,2
style.css,121,css,a80e9a2b,Gabrielle Despaigne,2025-10-11,00:26:47,-07:00,2025-10-11T00:26:47-07:00,1,10
style.css,122,css,a80e9a2b,Gabrielle Despaigne,2025-10-11,00:26:47,-07:00,2025-10-11T00:26:47-07:00,1,13
style.css,123,css,a80e9a2b,Gabrielle Despaigne,2025-10-11,00:26:47,-07:00,2025-10-11T00:26:47-07:00,1,14
style.css,124,css,a80e9a2b,Gabrielle Despaigne,2025-10-11,00:26:47,-07:00,2025-10-11T00:26:47-07:00,1,15
style.css,125,css,a80e9a2b,Gabrielle Despaigne,2025-10-11,00:26:47,-07:00,2025-10-11T00:26:47-07:00,1,17
style.css,126,css,a80e9a2b,Gabrielle Despaigne,2025-10-11,00:26:47,-07:00,2025-10-11T00:26:47-07:00,0,0
style.css,127,css,a80e9a2b,Gabrielle Despaigne,2025-10-11,00:26:47,-07:00,2025-10-11T00:26:47-07:00,0,2
style.css,128,css,a80e9a2b,Gabrielle Despaigne,2025-10-11,00:26:47,-07:00,2025-10-11T00:26:47-07:00,1,10
style.css,129,css,a80e9a2b,Gabrielle Despaigne,2025-10-11,00:26:47,-07:00,2025-10-11T00:26:47-07:00,1,15
style.css,130,css,a80e9a2b,Gabrielle Despaigne,2025-10-11,00:26:47,-07:00,2025-10-11T00:26:47-07:00,1,17
style.css,131,css,a80e9a2b,Gabrielle Despaigne,2025-10-11,00:26:47,-07:00,2025-10-11T00:26:47-07:00,0,0
style.css,132,css,d914afc6,Gabrielle Despaigne,2025-10-10,23:59:11,-07:00,2025-10-10T23:59:11-07:00,0,0
style.css,133,css,d914afc6,Gabrielle Despaigne,2025-10-10,23:59:11,-07:00,2025-10-10T23:59:11-07:00,0,0
style.css,134,css,a80e9a2b,Gabrielle Despaigne,2025-10-11,00:26:47,-07:00,2025-10-11T00:26:47-07:00,0,17
style.css,135,css,19ab58e7,Gabrielle Despaigne,2025-10-11,00:03:52,-07:00,2025-10-11T00:03:52-07:00,0,7
style.css,136,css,b40399e8,Gabrielle Despaigne,2025-10-11,00:42:46,-07:00,2025-10-11T00:42:46-07:00,1,17
style.css,137,css,a80e9a2b,Gabrielle Despaigne,2025-10-11,00:26:47,-07:00,2025-10-11T00:26:47-07:00,1,18
style.css,138,css,b40399e8,Gabrielle Despaigne,2025-10-11,00:42:46,-07:00,2025-10-11T00:42:46-07:00,1,14
style.css,139,css,19ab58e7,Gabrielle Despaigne,2025-10-11,00:03:52,-07:00,2025-10-11T00:03:52-07:00,1,18
style.css,140,css,19ab58e7,Gabrielle Despaigne,2025-10-11,00:03:52,-07:00,2025-10-11T00:03:52-07:00,0,0
style.css,141,css,b40399e8,Gabrielle Despaigne,2025-10-11,00:42:46,-07:00,2025-10-11T00:42:46-07:00,0,18
style.css,142,css,b40399e8,Gabrielle Despaigne,2025-10-11,00:42:46,-07:00,2025-10-11T00:42:46-07:00,1,20
style.css,143,css,e2dadb39,Gabrielle Despaigne,2025-10-15,21:11:38,-07:00,2025-10-15T21:11:38-07:00,1,22
style.css,144,css,b40399e8,Gabrielle Despaigne,2025-10-11,00:42:46,-07:00,2025-10-11T00:42:46-07:00,1,10
style.css,145,css,b40399e8,Gabrielle Despaigne,2025-10-11,00:42:46,-07:00,2025-10-11T00:42:46-07:00,1,13
style.css,146,css,19ab58e7,Gabrielle Despaigne,2025-10-11,00:03:52,-07:00,2025-10-11T00:03:52-07:00,0,0
style.css,147,css,19ab58e7,Gabrielle Despaigne,2025-10-11,00:03:52,-07:00,2025-10-11T00:03:52-07:00,0,13
style.css,148,css,19ab58e7,Gabrielle Despaigne,2025-10-11,00:03:52,-07:00,2025-10-11T00:03:52-07:00,1,11
style.css,149,css,d33406bc,Gabrielle Despaigne,2025-10-15,20:59:28,-07:00,2025-10-15T20:59:28-07:00,1,16
style.css,150,css,a80e9a2b,Gabrielle Despaigne,2025-10-11,00:26:47,-07:00,2025-10-11T00:26:47-07:00,0,0
style.css,151,css,d914afc6,Gabrielle Despaigne,2025-10-10,23:59:11,-07:00,2025-10-10T23:59:11-07:00,0,13
style.css,152,css,d914afc6,Gabrielle Despaigne,2025-10-10,23:59:11,-07:00,2025-10-10T23:59:11-07:00,1,12
style.css,153,css,b40399e8,Gabrielle Despaigne,2025-10-11,00:42:46,-07:00,2025-10-11T00:42:46-07:00,1,31
style.css,154,css,a80e9a2b,Gabrielle Despaigne,2025-10-11,00:26:47,-07:00,2025-10-11T00:26:47-07:00,1,12
